sizeMap; possibleActions; possibleStates; initialQValues; learningMethod; selectionMethod; selectionMethodForSimulationMCTS; numberOfTasks; numberOfEpisodes; softmax_baselineUsed; softmax_temperature; UCB_c; eGreedy_epsilon_initial; eGreedy_epsilon_final; qLearning_alpha; qLearning_gamma; qLearning_lambda; maxStepsForSimulationMCTS; simulationDepthChargeMCTS; taskNumber; episodeNumber; episodeStepTime; optimalAction; lastState; actionInLastState; newState; averageReward; RMS; percentageOfChosenOptimalActionsPerEpisode; percentageOfChosenActionsPerEpisode; victories;
;;;;;;;;;;;;;;;;;;;6;112;38;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_7.0_7.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_7.0_7.0;-1.0;-1.0;0.0;46.15385_0.0_20.51282_0.0_30.76923_0.0_2.5641_0.0;0;
;;;;;;;;;;;;;;;;;;;6;113;40;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_7.0_7.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_7.0_7.0;-1.0;-1.0;0.0;46.34146_0.0_19.5122_0.0_31.70732_0.0_2.43902_0.0;0;
;;;;;;;;;;;;;;;;;;;6;114;41;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_7.0_7.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_7.0_7.0;-1.0;-1.0;0.0;50.0_0.0_14.28571_2.38095_33.33333_0.0_0.0_0.0;0;
;;;;;;;;;;;;;;;;;;;6;115;48;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_7.0_7.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_7.0_7.0;-1.0;-1.0;2.0408163265306123;44.89796_0.0_16.32653_6.12245_24.4898_4.08163_2.04082_2.04082;0;
;;;;;;;;;;;;;;;;;;;6;116;47;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_7.0_7.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_7.0_7.0;-1.0;-1.0;2.0833333333333335;45.83333_0.0_16.66667_2.08333_31.25_2.08333_0.0_2.08333;0;
;;;;;;;;;;;;;;;;;;;6;117;45;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_7.0_7.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_7.0_7.0;-1.0;-1.0;0.0;47.82609_0.0_15.21739_2.17391_32.6087_0.0_2.17391_0.0;0;
;;;;;;;;;;;;;;;;;;;6;118;40;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_7.0_7.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_7.0_7.0;-1.0;-1.0;0.0;41.46341_0.0_24.39024_0.0_26.82927_0.0_7.31707_0.0;0;
;;;;;;;;;;;;;;;;;;;6;119;42;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_7.0_7.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_7.0_7.0;-1.0;-1.0;0.0;44.18605_0.0_20.93023_0.0_30.23256_0.0_4.65116_0.0;0;
;;;;;;;;;;;;;;;;;;;6;120;48;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_7.0_7.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_7.0_7.0;-1.0;-1.0;2.0408163265306123;46.93878_0.0_14.28571_4.08163_30.61224_2.04082_0.0_2.04082;0;
;;;;;;;;;;;;;;;;;;;6;121;43;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_7.0_7.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_7.0_7.0;-1.0;-1.0;0.0;45.45455_0.0_20.45455_0.0_29.54545_2.27273_2.27273_0.0;0;
